page,faq
https://support.n26.com/es-es/cuenta-e-informacion-personal/reclamaciones/como-presentar-una-reclamacion,¿Cómo presentar una reclamación?
https://support.n26.com/es-es/cuenta-e-informacion-personal/informacion-y-datos-personales/mensajes-de-n26,¿Qué es “Mensajes de N26”?
https://support.n26.com/es-es/cuenta-e-informacion-personal/informacion-y-datos-personales/como-cambiar-mi-direccion-numero-de-telefono-u-otra-informacion-personal,"¿Cómo cambiar mi dirección, número de teléfono u otra información personal?"
https://support.n26.com/es-es/cuenta-e-informacion-personal/informacion-y-datos-personales/como-cerrar-mi-cuenta,¿Cómo cerrar mi cuenta?
https://support.n26.com/es-es/cuenta-e-informacion-personal/informacion-y-datos-personales/como-descargar-mi-informacion-personal,¿Cómo descargar mi información personal?
https://support.n26.com/es-es/cuenta-e-informacion-personal/informacion-y-datos-personales/como-saber-cual-es-mi-iban-o-numero-de-cuenta,¿Cómo saber cuál es mi IBAN o número de cuenta?
https://support.n26.com/es-es/cuenta-e-informacion-personal/informacion-de-impuestos/como-declarar-mi-cuenta-n26-para-los-impuestos-en-francia,¿Cómo declarar mi cuenta N26 para los impuestos en Francia?
https://support.n26.com/es-es/cuenta-e-informacion-personal/informacion-y-datos-personales/como-puedo-hacer-de-n26-mi-cuenta-principal,¿Cómo puedo hacer de N26 mi cuenta principal?
https://support.n26.com/es-es/cuenta-e-informacion-personal/informacion-de-impuestos/que-hace-n26-con-mi-informacion-fiscal,¿Qué hace N26 con mi información fiscal?
https://support.n26.com/es-es/pagos-transferencias-y-retiradas,"Pagos, transferencias y retiradas"
https://support.n26.com/en-eu/account-and-personal-details/taxes/what-does-n26-do-with-my-tax-information,What does N26 do with my tax information?
https://support.n26.com/es-es,¿Cómo podemos ayudarte?
https://support.n26.com/en-es/account-and-personal-details/personal-information-and-data/messages-from-n26,What are “Messages from N26” ? 
https://support.n26.com/en-es/account-and-personal-details/personal-information-and-data/how-to-close-my-account,How to close my account?
https://support.n26.com/en-it,What can we help you with?
https://support.n26.com/en-es/account-and-personal-details/personal-information-and-data/how-can-i-change-my-phone-number-address-or-other-personal-data,"How to change my phone number, address, or other personal data?"
https://support.n26.com/en-at,What can we help you with?
https://support.n26.com/en-es/account-and-personal-details/complaints/how-to-file-a-complaint-es,How to file a complaint?
https://support.n26.com/es-es/app-y-herramientas,App y herramientas
https://support.n26.com/en-fr,What can we help you with?
https://support.n26.com/en-gb,What can we help you with?
https://support.n26.com/en-de,What can we help you with?
https://support.n26.com/en-eu/account-and-personal-details/personal-information-and-data/can-n26-close-my-account,Can N26 close my account?
https://support.n26.com/en-eu/memberships-and-account-types,Memberships & Account Types
https://support.n26.com/en-us,What can we help you with?
https://support.n26.com/en-eu/payments-transfers-and-withdrawals,"Payments, Transfers & Withdrawals"
https://support.n26.com/en-eu/app-and-features,App & Features 
https://support.n26.com/en-eu/cards,Cards
https://support.n26.com/en-eu/security,Security
https://support.n26.com/en-eu/account-and-personal-details/personal-information-and-data/how-can-i-change-my-phone-number-address-or-other-personal-data,"How to change my phone number, address, or other personal data?"
https://support.n26.com/en-eu/account-and-personal-details/opening-an-account/can-i-open-an-n26-account-in-my-country,Can I open an N26 account in my country?
https://support.n26.com/en-eu/account-and-personal-details/opening-an-account/can-i-open-an-account-if-i-live-outside-the-eurozone,Can I open an account if I live outside the eurozone?
https://support.n26.com/en-eu/account-and-personal-details/opening-an-account/how-to-open-my-n26-account,How to open my N26 account?
https://support.n26.com/en-eu/account-and-personal-details/verifying-my-identity/how-to-prove-my-identity,How to prove my identity?
https://support.n26.com/en-eu/account-and-personal-details/personal-information-and-data/how-to-find-my-iban-or-account-number,How to find my IBAN or account number? 
https://support.n26.com/en-eu/account-and-personal-details/personal-information-and-data/how-to-download-my-personal-data,How to download my personal data?
https://support.n26.com/en-eu/account-and-personal-details/personal-information-and-data/how-to-close-my-account,How to close my account?
https://support.n26.com/en-eu/account-and-personal-details/complaints/how-to-file-a-complaint,How to file a complaint?
https://support.n26.com/de-at/konto-und-personliche-informationen/verifizierung-meiner-identitat/warum-funktioniert-meine-video-verifizierung-nicht,Warum funktioniert meine Video-Verifizierung nicht?
https://support.n26.com/en-at/payments-transfers-and-withdrawals,"Payments, Transfers & Withdrawals"
https://support.n26.com/de-at/konto-und-personliche-informationen/verifizierung-meiner-identitat/fatca-warum-wir-bestimmte-informationen-von-dir-benotigen,FATCA - Warum wir bestimmte Informationen von dir benötigen
https://support.n26.com/en-at/app-and-features,App & Features
https://support.n26.com/en-at/account-and-personal-details/taxes/why-do-i-pay-the-church-tax,Why do I pay the church tax?
https://support.n26.com/fr-fr/compte-et-informations-personnelles/impots/comment-n26-gere-mes-informations-fiscales,Comment N26 gère mes informations fiscales ?
https://support.n26.com/en-at/account-and-personal-details/personal-information-and-data/how-to-close-my-account,How to close my account?
https://support.n26.com/fr-fr/compte-et-informations-personnelles/impots/comment-declarer-son-compte-n26-aux-impots-francais,Comment déclarer son compte N26 aux impôts français ?
https://support.n26.com/en-at/security,Security
https://support.n26.com/fr-fr/compte-et-informations-personnelles/informations-personnelles/comment-modifier-mes-informations-personnelles,Comment modifier mes informations personnelles ?
https://support.n26.com/fr-fr/compte-et-informations-personnelles/informations-personnelles/ou-trouver-mon-rib-ou-mon-numero-de-compte,Où trouver mon RIB ou mon numéro de compte ?
https://support.n26.com/fr-fr/compte-et-informations-personnelles/informations-personnelles/comment-telecharger-des-donnees-personnelles,Comment télécharger des données personnelles ?
https://support.n26.com/fr-fr/compte-et-informations-personnelles/informations-personnelles/messages-de-n26,Comment fonctionnent les “Messages de N26” ?
https://support.n26.com/fr-fr/compte-et-informations-personnelles/informations-personnelles/comment-cloturer-mon-compte,Comment clôturer mon compte ?
https://support.n26.com/fr-fr/compte-et-informations-personnelles/litiges/comment-faire-une-reclamation,Comment faire une réclamation ?
https://support.n26.com/en-fr/memberships-and-account-types,Memberships & Account Types
https://support.n26.com/en-at/account-and-personal-details/opening-an-account/can-i-open-an-n26-account-in-my-country,Can I open an N26 account in my country?
https://support.n26.com/en-at/cards,Cards
https://support.n26.com/en-fr/cards,Cards
https://support.n26.com/en-at/account-and-personal-details/opening-an-account/can-i-open-an-account-if-i-live-outside-the-eurozone,Can I open an account if I live outside the eurozone?
https://support.n26.com/en-fr/payments-transfers-and-withdrawals,"Payments, Transfers & Withdrawals"
https://support.n26.com/en-at/account-and-personal-details/verifying-my-identity/why-isnt-my-video-verification-working,Why isn't my video verification working? 
https://support.n26.com/en-at/account-and-personal-details/opening-an-account/how-to-open-my-n26-account,How to open my N26 account?
https://support.n26.com/en-at/account-and-personal-details/verifying-my-identity/how-to-prove-my-identity,How to prove my identity?
https://support.n26.com/en-at/account-and-personal-details/verifying-my-identity/fatca-why-we-require-certain-information-from-our-customers,FATCA - Why we require certain information from our customers
https://support.n26.com/en-at/account-and-personal-details/verifying-my-identity/crs-why-we-require-certain-information-from-our-customers,CRS - Why we require certain information from our customers
https://support.n26.com/en-fr/app-and-features,App & Features
https://support.n26.com/en-at/account-and-personal-details/verifying-my-identity/why-isnt-my-photo-verification-working,Why isn’t my photo verification working?
https://support.n26.com/en-at/account-and-personal-details/taxes/how-to-declare-my-n26-account-for-my-taxes-in-france,How to declare my N26 account for my taxes in France?
https://support.n26.com/en-it/app-and-features,App & Features
https://support.n26.com/it-it/conto-e-informazioni-personali/tasse/come-dichiarare-il-conto-n26-nella-mia-dichiarazione-dei-redditi-in-francia,Come dichiarare il conto N26 nella mia dichiarazione dei redditi in Francia?
https://support.n26.com/en-it/memberships-and-account-types,Memberships & Account Types
https://support.n26.com/en-it/account-and-personal-details/opening-an-account/can-i-open-an-n26-account-in-my-country,Can I open an N26 account in my country?
https://support.n26.com/it-it/conto-e-informazioni-personali/reclami/come-fare-un-reclamo,Come fare un reclamo?
https://support.n26.com/en-it/account-and-personal-details/opening-an-account/how-to-open-my-n26-account,How to open my N26 account?
https://support.n26.com/it-it/conto-e-informazioni-personali/informazioni-e-dati-personali/messaggi-da-n26,Cos’è “Messaggi da N26”?
https://support.n26.com/en-it/account-and-personal-details/opening-an-account/can-i-open-an-account-if-i-live-outside-the-eurozone,Can I open an account if I live outside the eurozone?
https://support.n26.com/en-it/account-and-personal-details/opening-an-account/who-is-a-politically-exposed-person,Who is a Politically Exposed Person?
https://support.n26.com/en-it/account-and-personal-details/verifying-my-identity/why-isnt-my-photo-verification-working,Why isn’t my photo verification working?
https://support.n26.com/en-it/account-and-personal-details/verifying-my-identity/fatca-why-we-require-certain-information-from-our-customers,FATCA - Why we require certain information from our customers
https://support.n26.com/en-it/account-and-personal-details/verifying-my-identity/how-to-prove-my-identity,How to prove my identity?
https://support.n26.com/en-it/account-and-personal-details/verifying-my-identity/why-isnt-my-video-verification-working,Why isn't my video verification working? 
https://support.n26.com/en-it/account-and-personal-details/verifying-my-identity/crs-why-we-require-certain-information-from-our-customers,CRS - Why we require certain information from our customers
https://support.n26.com/en-it/account-and-personal-details/taxes/how-to-declare-my-n26-account-for-my-taxes-in-france,How to declare my N26 account for my taxes in France?
https://support.n26.com/en-it/account-and-personal-details/taxes/do-i-need-to-declare-my-n26-account,Do I need to declare my N26 account?
https://support.n26.com/en-it/account-and-personal-details/taxes/what-does-n26-do-with-my-tax-information,What does N26 do with my tax information?
https://support.n26.com/en-it/account-and-personal-details/taxes/am-i-liable-to-tax-in-the-united-states,Am I liable to tax in the United States?
https://support.n26.com/en-it/account-and-personal-details/personal-information-and-data/how-can-i-change-my-phone-number-address-or-other-personal-data,"How to change my phone number, address, or other personal data?"
https://support.n26.com/en-it/account-and-personal-details/personal-information-and-data/how-to-find-my-iban-or-account-number,How to find my IBAN or account number? 
https://support.n26.com/en-it/account-and-personal-details/personal-information-and-data/how-to-download-my-personal-data,How to download my personal data?
https://support.n26.com/en-it/account-and-personal-details/personal-information-and-data/how-to-close-my-account,How to close my account?
https://support.n26.com/en-it/account-and-personal-details/personal-information-and-data/messages-from-n26,What are “Messages from N26” ? 
https://support.n26.com/en-gb/account-and-personal-details,Account & Personal Details
https://support.n26.com/en-gb/app-and-features,App & Features
https://support.n26.com/en-it/account-and-personal-details/complaints/how-to-file-a-complaint-it,How to file a complaint?
https://support.n26.com/it-it/conto-e-informazioni-personali,Conto e informazioni personali
https://support.n26.com/en-gb/payments-transfers-and-withdrawals,"Payments, Transfers & Withdrawals"
https://support.n26.com/it-it/conto-e-informazioni-personali/informazioni-e-dati-personali/come-chiudere-il-conto,Come chiudere il conto?
https://support.n26.com/de-at,Wie können wir helfen?
https://support.n26.com/en-de/payments-transfers-and-withdrawals,"Payments, Transfers & Withdrawals"
https://support.n26.com/en-de/cards,Cards
https://support.n26.com/en-de/account-and-personal-details/opening-an-account/how-to-open-my-n26-account,How to open my N26 account?
https://support.n26.com/it-it/conto-e-informazioni-personali/verifica-della-identita/fatca-perche-richiediamo-alcune-informazioni-da-te,FATCA - Perché richiediamo alcune informazioni da te?
https://support.n26.com/de-at/konto-und-personliche-informationen/eroffnung-meines-kontos/kann-ich-in-meinem-land-ein-n26-konto-eroffnen,Kann ich in meinem Land ein N26 Konto eröffnen?
https://support.n26.com/en-de/account-and-personal-details/complaints/how-to-file-a-complaint,How to file a complaint?
https://support.n26.com/de-at/zahlungen-ueberweisungen-und-abhebungen,"Zahlungen, Überweisungen & Abhebungen"
https://support.n26.com/en-de/account-and-personal-details/ganrishment-insolvency-p-account/insolvency-what-can-i-do,What's an insolvency and what can I do?
https://support.n26.com/en-it/app-and-features/app/how-to-contact-n26,How to contact N26?
https://support.n26.com/en-de/account-and-personal-details/personal-information-and-data/messages-from-n26,What are “Messages from N26” ? 
https://support.n26.com/en-de/account-and-personal-details/taxes/am-i-liable-to-tax-in-the-united-states,Am I liable to tax in the United States?
https://support.n26.com/de-at/app-und-produkte,App & Produkte
https://support.n26.com/en-de/account-and-personal-details/ganrishment-insolvency-p-account/garnishment-what-can-i-do,What's a garnishment and what can I do?
https://support.n26.com/en-de/account-and-personal-details/personal-information-and-data/how-can-i-change-my-phone-number-address-or-other-personal-data,"How to change my phone number, address, or other personal data?"
https://support.n26.com/en-de/account-and-personal-details/personal-information-and-data/how-to-close-my-account,How to close my account?
https://support.n26.com/en-de/account-and-personal-details/personal-information-and-data/how-to-download-my-personal-data,How to download my personal data?
https://support.n26.com/en-de/account-and-personal-details/taxes/how-to-declare-my-n26-account-for-my-taxes-in-france,How to declare my N26 account for my taxes in France?
https://support.n26.com/en-de/account-and-personal-details/personal-information-and-data/how-to-make-n26-my-main-account,How to make N26 my main account?
https://support.n26.com/de-at/sicherheit,Sicherheit
https://support.n26.com/en-de/account-and-personal-details/taxes/why-do-i-pay-the-church-tax,Why do I pay the church tax?
https://support.n26.com/en-de/account-and-personal-details/opening-an-account/can-i-open-an-n26-account-in-my-country,Can I open an N26 account in my country?
https://support.n26.com/en-de/account-and-personal-details/verifying-my-identity/how-to-prove-my-identity,How to prove my identity?
https://support.n26.com/en-de/security,Security
https://support.n26.com/en-de/account-and-personal-details/personal-information-and-data/how-to-find-my-iban-or-account-number,How to find my IBAN or account number? 
https://support.n26.com/en-de/account-and-personal-details/taxes/what-does-n26-do-with-my-tax-information,What does N26 do with my tax information?
https://support.n26.com/en-de/account-and-personal-details/verifying-my-identity/why-isnt-my-video-verification-working,Why isn't my video verification working? 
https://support.n26.com/en-de/account-and-personal-details/opening-an-account/can-i-open-an-account-if-i-live-outside-the-eurozone,Can I open an account if I live outside the eurozone?
https://support.n26.com/de-at/karten,Karten
https://support.n26.com/en-de/account-and-personal-details/verifying-my-identity/crs-why-we-require-certain-information-from-our-customers,CRS - Why we require certain information from our customers
